gene_id,H2Aub,H3K27,misregulated
AT2G41990,-1.0855216545431117,NA,NA
AT2G42000,-1.0855216545431117,NA,NA
AT2G42005,-1.0855216545431117,NA,NA
AT1G48770,1.5610779698342567,NA,NA
AT3G29590,-1.028306838330203,-0.4768273806586367,NA
AT5G20070,1.0010371563667189,NA,NA
AT4G36240,-1.4515894512742007,NA,NA
AT3G24190,1.630864654252525,NA,NA
AT3G01545,1.2702054647811738,NA,NA
AT3G05000,1.2702054647811738,NA,NA
AT3G05010,1.2702054647811738,NA,NA
AT5G04070,1.589615992998307,NA,NA
AT4G14605,1.687091706971405,NA,NA
AT3G13410,1.2923871918649212,NA,NA
AT3G13420,1.2923871918649212,2.46399698522802,-3.9139398614047902
AT5G59990,-1.5065897864808029,NA,NA
AT2G07175,1.6098285386188005,NA,NA
AT2G19340,1.6098285386188005,NA,NA
AT2G19350,1.6098285386188005,NA,NA
AT5G54640,1.24386682558302,NA,NA
AT1G30040,-1.149815873451403,-0.4776668223556766,NA
AT5G17060,1.6948017663799972,NA,NA
AT1G07740,0.8478818435512964,NA,NA
AT3G54380,1.473665411076682,NA,NA
AT2G42520,-0.8428787069236132,NA,NA
AT2G42530,-0.8428787069236132,NA,NA
AT2G42540,-0.8428787069236132,-0.4974056322958045,NA
AT2G42550,-0.8428787069236132,NA,NA
AT2G42560,-0.8428787069236132,-1.0468744991383645,NA
AT3G20910,1.5163354880200035,NA,NA
AT1G09737,1.4010328442410531,NA,NA
AT1G77620,1.4010328442410531,NA,NA
AT1G77630,1.4010328442410531,NA,NA
AT2G09290,-0.9994560589526263,NA,NA
AT2G41640,-0.9994560589526263,NA,NA
AT2G41650,-0.9994560589526263,NA,NA
AT2G41660,-0.9994560589526263,-0.9056664655474884,NA
AT5G56940,1.173413481234283,NA,NA
AT5G56950,1.173413481234283,NA,NA
AT4G10760,1.8668270400021123,NA,NA
AT2G29910,1.3765616871917847,NA,NA
AT4G21170,1.3183706976671583,NA,NA
AT4G21180,1.3183706976671583,NA,NA
AT3G61760,1.1278487718983876,NA,NA
AT5G43670,1.5163578119039902,NA,NA
AT3G12050,1.5325448430829969,NA,NA
AT2G43240,1.014562028985418,2.4644220833620656,-1.59753637960953
AT4G28250,-1.2527989965255406,NA,NA
AT5G57140,1.873363052392497,NA,NA
AT3G17470,1.3734146586768978,NA,NA
AT5G23070,1.4052128994398645,NA,NA
AT2G22140,1.1037969466610178,2.3721019762148297,NA
AT4G30230,-1.4438391346986976,-0.6029820296894789,NA
AT2G27880,-1.0166613781069105,-0.5264322309723618,5.84645555840144
AT2G44630,1.2261890856034228,NA,NA
AT2G44640,1.2261890856034228,NA,NA
AT5G35320,2.07842918267522,NA,NA
AT1G60545,1.43287112153019,NA,NA
AT5G13970,1.2767047695941636,2.7089353475309603,-1.91981378726694
AT3G21330,-1.249140885879193,NA,NA
AT1G56090,1.5376883434231627,NA,NA
AT1G68200,1.6004594043248952,2.7365144074341115,NA
AT1G07745,1.0234004201989673,2.308678604342629,-3.20308772791458
AT5G39710,1.6495112872144342,NA,NA
AT5G60110,-1.1238282358586165,-0.6319435684353398,NA
AT5G49130,-1.0841218556605736,0.17444009029598193,NA
AT5G49138,-1.0841218556605736,0.17444009029598193,NA
AT4G12000,1.5448339856136306,NA,NA
AT3G49250,1.418193963912726,NA,NA
AT4G02670,-1.141045789823638,NA,NA
AT5G59960,1.410844916749511,NA,NA
AT5G59970,1.410844916749511,NA,NA
AT5G59980,1.410844916749511,2.3697157301791436,-1.90453569487056
AT5G43280,1.7564731228787347,NA,NA
AT4G33990,1.337018570054909,NA,NA
AT5G25330,-1.0089303311949074,-0.33477510372472696,NA
