bins,name,value,rep,type
H2Aub-Col-rep1.cov.RPGConly,243,1.1862533935096018,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,244,1.1957820708527414,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,245,1.205636106416822,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,246,1.2150849493354663,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,247,1.2239515421919485,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,248,1.2313326649262348,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,249,1.238081051681065,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,250,1.2441790960926984,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,251,1.2501232682871577,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,252,1.25637650704227,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,253,1.2603223845892118,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,254,1.2644731299909346,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,255,1.2697898753544454,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,256,1.274337882486399,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,257,1.2775334941603478,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,258,1.282086803836996,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,259,1.2857888833806186,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,260,1.289741523658251,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,261,1.2934304729561368,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,262,1.296917606620578,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,263,1.2995206078231405,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,264,1.300924395103718,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,265,1.3030318317280596,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,266,1.3061864645285666,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,267,1.307708948215319,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,268,1.3097898102198142,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,269,1.3102564172140514,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,270,1.310817986298275,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,271,1.3133863632861338,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,272,1.3145406543559628,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,273,1.3174730877888627,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,274,1.3199713335221628,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,275,1.3194537897656624,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,276,1.3196783510144063,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,277,1.3174913730329587,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,278,1.31817868764148,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,279,1.3188065115515433,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,280,1.3205041518858498,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,281,1.3241991328726954,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,282,1.325112563986421,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,283,1.3264884272449444,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,284,1.32697077471969,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,285,1.3265311677419442,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,286,1.3260483594475354,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,287,1.3260024867006304,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,288,1.3283240114408803,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,289,1.3281332626811715,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,290,1.327482285762797,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,291,1.3271125477080004,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,292,1.3282583959442724,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,293,1.325999306480868,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,294,1.3240619011213213,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,295,1.3231548009961578,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,296,1.322718123400901,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,297,1.3217553772922903,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,298,1.3225429987543995,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,299,1.3233965086031385,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,300,1.3234428936820783,rep1,Col
H2Aub-Col-rep2.cov.RPGConly,1,1.4553021794398977,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,2,1.453582268410734,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,3,1.451734993550611,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,4,1.4508456825981737,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,5,1.4509081170163691,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,6,1.450946200415124,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,7,1.4519685024789524,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,8,1.4522508770898193,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,9,1.4509587683531162,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,10,1.4501324596151606,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,11,1.4527576486735856,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,12,1.453887042354293,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,13,1.4522340945290788,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,14,1.449655398961328,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,15,1.4483494787724966,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,16,1.4486898615633257,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,17,1.44923377197643,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,18,1.4472240137365708,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,19,1.4451391038975976,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,20,1.4462024890839742,rep2,Col
H2Aub-Col-rep2.cov.RPGConly,21,1.4438723486439615,rep2,Col
