ubp5_targets,cat
AT1G09630,Hyper-marked
AT1G09637,Unchanged
AT1G09647,Unchanged
AT1G09680,Unchanged
AT1G09687,Unchanged
AT1G09700,De-novo marked
AT1G09730,Hyper-marked
AT1G09737,De-novo marked
AT1G09740,Hyper-marked
AT1G09760,Unchanged
AT1G09765,Unchanged
AT1G09770,Unchanged
AT1G09794,Hyper-marked
AT1G09795,Hyper-marked
AT1G09800,Hyper-marked
AT1G09815,De-novo marked
AT1G09820,Unchanged
AT1G09823,Hyper-marked
AT1G09830,De-novo marked
AT1G09840,Unchanged
AT1G09843,Hypo-marked
AT1G09850,Unchanged
AT1G09863,De-novo marked
AT1G09870,Unchanged
AT1G09887,De-novo marked
AT1G09905,Unchanged
AT1G09915,Unchanged
AT1G09920,Hypo-marked
AT1G09925,Hyper-marked
AT1G09940,Unchanged
AT1G09960,Unchanged
AT1G09975,Hypo-marked
AT1G09980,Unchanged
AT1G09985,Unchanged
AT1G09987,Unchanged
AT1G09993,Unchanged
AT1G10020,Hypo-marked
AT1G10030,Hypo-marked
AT1G10110,Unchanged
AT1G10150,De-novo marked
AT1G10155,De-novo marked
AT1G10170,Unchanged
AT1G10230,Hyper-marked
AT1G10240,Hyper-marked
AT1G10260,Unchanged
AT1G10270,Hypo-marked
AT1G10280,De-novo marked
AT1G10290,Unchanged
AT1G10310,De-novo marked
AT1G10330,De-novo marked
AT1G10350,Hyper-marked
AT1G10370,Hypo-marked
AT1G10380,Hypo-marked
AT1G10385,Hypo-marked
AT1G10390,De-novo marked
AT1G10395,De-novo marked
AT1G10417,Hyper-marked
AT1G10470,Hypo-marked
AT1G10490,Unchanged
AT1G10500,Hyper-marked
AT1G10510,Hyper-marked
AT1G10522,De-novo marked
AT1G10570,De-novo marked
AT1G10580,Unchanged
AT1G10585,Unchanged
AT1G10590,Hyper-marked
AT1G10700,De-novo marked
AT1G10740,De-novo marked
AT1G10780,Unchanged
AT1G10820,De-novo marked
AT1G10830,Hyper-marked
AT1G10850,Unchanged
AT1G10870,Hypo-marked
AT1G10900,Unchanged
AT1G10930,De-novo marked
AT1G10940,De-novo marked
AT1G11010,Hyper-marked
