gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	effect
AT5G47020	102.2597491149	-0.324025941943475	0.17434914502391	3.87712860859641	5.28482470102515e-05	0.000175951698848819	NO
AT5G47030	428.461916958055	0.0293213621397871	0.1121833485139	8.65260888285878	2.5167647535324e-18	6.30983429950009e-16	NO
AT5G47040	144.248503398505	-0.396736846358818	0.159538126080873	3.78131026395142	7.80025493501796e-05	0.000246647847142637	NO
AT5G47050	10.932667041801	-0.206651972247994	0.47590230834477	1.66703967146396	0.0477532583550532	0.0653521764950017	YES
AT5G47060	42.7580012442634	-0.274722819452167	0.276915388355824	2.61912920352365	0.0044077275808943	0.00817103610587698	NO
AT5G47070	49.2369171123412	0.383091112558415	0.25107189478642	2.45710053674614	0.00700317415242914	0.0122457489908322	NO
AT5G47075	0	NA	NA	NA	NA	NA	NA
AT5G47077	0	NA	NA	NA	NA	NA	NA
AT5G47080	54.9695008282019	-0.031270427844638	0.209996482975748	4.61307522120377	1.98377317091299e-06	1.05007980355398e-05	NO
AT5G47090	47.918188950627	0.28430518085256	0.243956399816251	2.93369970899105	0.00167474047494426	0.00351986925427444	NO
AT5G47100	18.5009539239918	-1.58516213460403	0.386958586939698	0	0.934759608424147	0.957441488120976	YES
AT5G47110	483.006852508226	0.182436318239482	0.137899584167197	5.92868852141902	1.52681847110894e-09	2.15381630361805e-08	NO
AT5G47120	238.80912581336	0.277964837956024	0.155480546267249	4.64389391070765	1.70951587494296e-06	9.23587315715251e-06	NO
AT5G47130	5.57728689961079	1.63231015189513	0.813764600799493	0	0.78142607304982	NA	NA
AT5G47140	25.3680464362012	0.388927882554517	0.335559031443526	1.82105698307907	0.0342990976714847	0.0490279171708757	NO
AT5G47150	0.243571216433782	0.439394270579796	3.01885278511691	0.185701579150867	0.426339394939853	NA	NA
AT5G47160	1.04089177288278	-0.192548986490596	1.52526183164951	0.529385182763133	0.298269137401488	NA	NA
AT5G47170	0.226255574610629	-1.05481725741159	3.52783628913412	0	0.506198712154997	NA	NA
AT5G47175	0	NA	NA	NA	NA	NA	NA
AT5G47180	80.9076976925204	0.203209898141317	0.182057881054061	4.37657572001557	6.02791611356088e-06	2.7222687754119e-05	NO
AT5G47190	449.613640508975	-0.277178783403675	0.15450053343222	4.67843832340832	1.44534045909991e-06	7.96670505553838e-06	NO
AT5G47200	208.142043136633	-0.13154745050062	0.129015136393326	6.73140046801752	8.40188818881991e-12	2.51858775109426e-10	NO
AT5G47210	565.648102693356	0.137743327099197	0.127035546750547	6.78752282299356	5.70376089230718e-12	1.81500252855783e-10	NO
AT5G47220	107.32468489517	0.910601791106671	0.221863383363586	0.402942601604629	0.343495225159425	0.378013799595172	YES
AT5G47225	0	NA	NA	NA	NA	NA	NA
AT5G47229	0	NA	NA	NA	NA	NA	NA
AT5G47230	24.0829097711458	-0.579331153477052	0.406978304780531	1.03363948785869	0.150652365905148	0.178942265352989	YES
AT5G47240	121.600573390399	-0.204878920157614	0.284161398983576	2.79813191618029	0.00256995578831998	0.00511733555106267	NO
AT5G47250	8.40254178830913	1.45684260987223	0.528312977089221	0	0.806403657772445	0.836010358070337	YES
AT5G47260	0	NA	NA	NA	NA	NA	NA
AT5G47280	0	NA	NA	NA	NA	NA	NA
AT5G47290	0	NA	NA	NA	NA	NA	NA
AT5G47300	0	NA	NA	NA	NA	NA	NA
AT5G47310	104.484463609535	-0.102774674885376	0.17669453462198	5.07783292241689	1.90882087416026e-07	1.3859262397863e-06	NO
AT5G47320	80.3105795843375	-0.0383155020534311	0.210415189578009	4.57041385593523	2.43380990936793e-06	1.25495207059789e-05	NO
AT5G47330	14.5938901650913	1.24813849720607	0.433395371644442	0	0.716523708324791	0.748315943047862	YES
AT5G47340	0	NA	NA	NA	NA	NA	NA
AT5G47350	0	NA	NA	NA	NA	NA	NA
AT5G47360	3.72106540529912	-1.38945870654576	0.81358502344182	0	0.683922023797535	NA	NA
AT5G47370	68.1987194053797	-0.574791327820339	0.278354523785154	1.52757952842849	0.0633084838611546	0.0834514046403669	YES
AT5G47380	8.56840660920906	-0.204291958208296	0.486649389031744	1.63507457262995	0.0510167079000454	0.0691775354930797	YES
AT5G47390	103.749312125578	0.148846812367928	0.181880583119529	4.67973641294468	1.43621983906239e-06	7.92699455535867e-06	NO
AT5G47400	13.5158488109784	0.461727895104729	0.439552170775556	1.22459207503294	0.110364477668016	0.135928620169159	YES
AT5G47420	26.5674641860443	0.44022948888662	0.328357043238043	1.70476169962212	0.0441194386845759	0.0610353943578027	YES
AT5G47430	82.104318336408	0.130696125907523	0.19678367268327	4.41756098074078	4.99104564664087e-06	2.31855228284577e-05	NO
AT5G47435	139.836518917089	-0.768885280590133	0.156292758236447	1.47872954587074	0.0696063061955851	0.0907267072562699	YES
AT5G47440	5.99203863327267	0.307715132694935	0.581528124371946	1.19045810218162	0.116933194091122	NA	NA
AT5G47445	5.83038730697149	-2.86483672162501	0.817901490191989	0	0.988696928880464	NA	NA
AT5G47450	61.3971048090829	-0.735213086081179	0.389596076594362	0.679644713656885	0.248364725176159	0.281062173949521	YES
AT5G47455	46.5306755389828	0.0209262123587213	0.246632133445419	3.96977382453676	3.59704441981129e-05	0.000126585057453461	NO
AT5G47460	3.8530846169991	1.17534262470299	0.771545316163076	0	0.589889835516305	NA	NA
AT5G47470	0.225938262860313	0.439393597167119	3.0965374434035	0.181042991754268	0.428166915501467	NA	NA
AT5G47480	100.469484494277	0.0920398340524637	0.183093028400245	4.95901003921744	3.54266530723725e-07	2.36468264779568e-06	NO
AT5G47490	24.8438797818285	0.0839632294287678	0.296523583762011	3.08925434850551	0.00100329785175112	0.00225626115152565	NO
AT5G47500	38.628914490005	-0.308854216453709	0.358843537074397	1.92603659294273	0.0270499024307287	0.0398464110675036	NO
AT5G47510	6.5753433999631	-0.0465468997557233	0.605127915191637	1.57562240364061	0.0575564249222562	NA	NA
AT5G47520	22.0753303332314	0.0118761248155147	0.338113578494076	2.92246137994661	0.0017363834291462	0.00362960290577087	NO
AT5G47530	5.00676449030832	-0.336165094147262	0.66595592668382	0.996815073271225	0.159427140203752	NA	NA
AT5G47540	45.8873890995885	-0.3001145974712	0.248578273037676	2.81555340286205	0.00243466517156364	0.00487256949611315	NO
AT5G47550	57.5831788475281	-0.78236798413318	0.274773647371634	0.792041077987623	0.214168362344683	0.245844182567982	YES
